Control ID,Control Name,Technique ID,Technique Name,CIS Control,CIS Sub-Control,Title,Control Identifier,Control or Control Enhancement Name
AC-1,Policy and Procedures,T1556.006,Multi-Factor Authentication,6.0,6.1,Establish an Access Granting Process,AC-1,Policy and Procedures
AC-1,Policy and Procedures,T1556.006,Multi-Factor Authentication,6.0,6.2,Establish an Access Revoking Process,AC-1,Policy and Procedures
AC-1,Policy and Procedures,T1556.007,Hybrid Identity,6.0,6.1,Establish an Access Granting Process,AC-1,Policy and Procedures
AC-1,Policy and Procedures,T1556.007,Hybrid Identity,6.0,6.2,Establish an Access Revoking Process,AC-1,Policy and Procedures
AC-11,Session Lock,T1021.001,Remote Desktop Protocol,4.0,4.3,Configure Automatic Session Locking on Enterprise Assets,AC-11,Device Lock
AC-11,Session Lock,T1563.002,RDP Hijacking,4.0,4.3,Configure Automatic Session Locking on Enterprise Assets,AC-11,Device Lock
AC-12,Session Termination,T1505.005,Terminal Services DLL,4.0,4.3,Configure Automatic Session Locking on Enterprise Assets,AC-12,Session Termination
AC-12,Session Termination,T1021.001,Remote Desktop Protocol,4.0,4.3,Configure Automatic Session Locking on Enterprise Assets,AC-12,Session Termination
AC-12,Session Termination,T1072,Software Deployment Tools,4.0,4.3,Configure Automatic Session Locking on Enterprise Assets,AC-12,Session Termination
AC-12,Session Termination,T1185,Browser Session Hijacking,4.0,4.3,Configure Automatic Session Locking on Enterprise Assets,AC-12,Session Termination
AC-12,Session Termination,T1563.002,RDP Hijacking,4.0,4.3,Configure Automatic Session Locking on Enterprise Assets,AC-12,Session Termination
AC-17,Remote Access,T1070.008,Clear Mailbox Data,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1070.008,Clear Mailbox Data,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1505.005,Terminal Services DLL,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1505.005,Terminal Services DLL,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1647,Plist File Modification,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1647,Plist File Modification,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1552.007,Container API,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1552.007,Container API,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1609,Container Administration Command,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1609,Container Administration Command,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1610,Deploy Container,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1610,Deploy Container,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1133,External Remote Services,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1133,External Remote Services,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059,Command and Scripting Interpreter,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059,Command and Scripting Interpreter,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1070.001,Clear Windows Event Logs,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1070.001,Clear Windows Event Logs,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1537,Transfer Data to Cloud Account,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1537,Transfer Data to Cloud Account,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1040,Network Sniffing,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1040,Network Sniffing,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1119,Automated Collection,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1119,Automated Collection,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1530,Data from Cloud Storage Object,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1530,Data from Cloud Storage Object,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1557,Adversary-in-the-Middle,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1557,Adversary-in-the-Middle,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1020.001,Traffic Duplication,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1020.001,Traffic Duplication,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1021.001,Remote Desktop Protocol,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1021.001,Remote Desktop Protocol,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1047,Windows Management Instrumentation,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1047,Windows Management Instrumentation,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.001,PowerShell,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.001,PowerShell,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.002,AppleScript,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.002,AppleScript,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.005,Visual Basic,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.005,Visual Basic,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.008,Network Device CLI,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.008,Network Device CLI,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1070,Indicator Removal on Host,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1070,Indicator Removal on Host,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1219,Remote Access Software,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1219,Remote Access Software,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1543,Create or Modify System Process,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
