CIS Control,CIS Safeguard,ATT&CK Technique ID,ATT&CK (Sub-)Technique Name
1,1.3,,
1,1.5,,
3,3.5,,
3,3.7,,
3,3.8,,
3,3.9,,
3,3.13,,
3,3.14,,
4,4.3,,
4,4.11,,
4,4.12,,
5,5.6,,
6,6.6,,
6,6.7,,
8,8.4,,
8,8.6,,
8,8.7,,
8,8.8,,
8,8.12,,
9,9.5,,
10,10.4,,
10,10.6,,
12,12.3,,
12,12.4,,
13,13.1,,
13,13.6,,
13,13.11,,
14,14.7,,
14,14.8,,
15,15.1,,
15,15.2,,
15,15.3,,
15,15.4,,
15,15.5,,
15,15.6,,
16,16.6,,
16,16.7,,
16,16.1,,
16,16.14,,
17,17.1,,
17,17.2,,
17,17.3,,
17,17.4,,
17,17.5,,
17,17.6,,
17,17.7,,
17,17.8,,
17,17.9,,
18,18.4,,
